Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2023,2023,2023
Kabupaten Pacitan,298826,297823,596649
Kabupaten Ponorogo,485603,486979,972582
Kabupaten Trenggalek,373810,370548,744358
Kabupaten Tulungagung,557045,556928,1113973
Kabupaten Blitar,629127,620370,1249497
Kabupaten Kediri,841629,825821,1667450
Kabupaten Malang,1361591,1341584,2703175
Kabupaten Lumajang,567106,580155,1147261
Kabupaten Jember,1288194,1296577,2584771
Kabupaten Banyuwangi,873100,871714,1744814
Kabupaten Bondowoso,385966,398226,784192
Kabupaten Situbondo,340547,353534,694081
Kabupaten Probolinggo,573945,589914,1163859
Kabupaten Pasuruan,813307,812722,1626029
Kabupaten Sidoarjo,1063973,1050615,2114588
Kabupaten Mojokerto,573841,567675,1141516
Kabupaten Jombang,678250,667636,1345886
Kabupaten Nganjuk,565193,559054,1124247
Kabupaten Madiun,378994,386141,765135
Kabupaten Magetan,335566,346900,682466
Kabupaten Ngawi,437350,444043,881393
Kabupaten Bojonegoro,663775,658699,1322474
Kabupaten Tuban,606876,608919,1215795
Kabupaten Lamongan,693701,693240,1386941
Kabupaten Gresik,676735,667913,1344648
Kabupaten Bangkalan,542775,558781,1101556
Kabupaten Sampang,492572,499638,992210
Kabupaten Pamekasan,422584,439425,862009
Kabupaten Sumenep,551524,591771,1143295
Kota Kediri,145556,145280,290836
Kota Blitar,76359,77182,153541
Kota Malang,421340,425842,847182
Kota Probolinggo,121500,123674,245174
Kota Pasuruan,106709,106741,213450
Kota Mojokerto,67125,68289,135414
Kota Madiun,98460,103000,201460
Kota Surabaya,1433967,1459731,2893698
Kota Batu,110138,108664,218802
Jawa Timur,20654659,20761748,41416407
