Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2020,2020,2020
Kabupaten Pacitan,293714,292396,586110
Kabupaten Ponorogo,474257,475061,949318
Kabupaten Trenggalek,367372,363753,731125
Kabupaten Tulungagung,545254,544521,1089775
Kabupaten Blitar,616511,607234,1223745
Kabupaten Kediri,825867,809427,1635294
Kabupaten Malang,1337805,1316643,2654448
Kabupaten Lumajang,553574,565677,1119251
Kabupaten Jember,1264968,1271761,2536729
Kabupaten Banyuwangi,855220,852894,1708114
Kabupaten Bondowoso,382226,393925,776151
Kabupaten Situbondo,336757,349210,685967
Kabupaten Probolinggo,568684,583853,1152537
Kabupaten Pasuruan,803730,802239,1605969
Kabupaten Sidoarjo,1048574,1034227,2082801
Kabupaten Mojokerto,562947,556262,1119209
Kabupaten Jombang,664605,653457,1318062
Kabupaten Nganjuk,555280,548622,1103902
Kabupaten Madiun,368908,375442,744350
Kabupaten Magetan,330024,340788,670812
Kabupaten Ngawi,431970,438087,870057
Kabupaten Bojonegoro,653686,647949,1301635
Kabupaten Tuban,598339,599673,1198012
Kabupaten Lamongan,672687,671478,1344165
Kabupaten Gresik,660283,650932,1311215
Kabupaten Bangkalan,522782,537595,1060377
Kabupaten Sampang,481667,488027,969694
Kabupaten Pamekasan,416961,433096,850057
Kabupaten Sumenep,542735,581701,1124436
Kota Kediri,143616,143180,286796
Kota Blitar,74217,74932,149149
Kota Malang,419901,423909,843810
Kota Probolinggo,118829,120820,239649
Kota Pasuruan,104046,103960,208006
Kota Mojokerto,65685,66749,132434
Kota Madiun,95442,99733,195175
Kota Surabaya,1425168,1449146,2874314
Kota Batu,107301,105745,213046
Jawa Timur,20291592,20374104,40665696
