Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2021,2021,2021
Kabupaten Pacitan,295163,293945,589108
Kabupaten Ponorogo,477428,478411,955839
Kabupaten Trenggalek,369196,365692,734888
Kabupaten Tulungagung,548563,548025,1096588
Kabupaten Blitar,620060,610953,1231013
Kabupaten Kediri,830315,814085,1644400
Kabupaten Malang,1344541,1323755,2668296
Kabupaten Lumajang,557352,569742,1127094
Kabupaten Jember,1271535,1278825,2550360
Kabupaten Banyuwangi,860245,858217,1718462
Kabupaten Bondowoso,383325,395200,778525
Kabupaten Situbondo,337859,350478,688337
Kabupaten Probolinggo,570237,585657,1155894
Kabupaten Pasuruan,806505,805300,1611805
Kabupaten Sidoarjo,1052978,1038952,2091930
Kabupaten Mojokerto,566019,559503,1125522
Kabupaten Jombang,668443,657471,1325914
Kabupaten Nganjuk,558087,551596,1109683
Kabupaten Madiun,371712,378431,750143
Kabupaten Magetan,331598,342535,674133
Kabupaten Ngawi,433525,439821,873346
Kabupaten Bojonegoro,656564,651038,1307602
Kabupaten Tuban,600785,602342,1203127
Kabupaten Lamongan,678500,677527,1356027
Kabupaten Gresik,664874,655696,1320570
Kabupaten Bangkalan,528275,543437,1071712
Kabupaten Sampang,484721,491299,976020
Kabupaten Pamekasan,418577,434930,853507
Kabupaten Sumenep,545236,584586,1129822
Kota Kediri,144174,143788,287962
Kota Blitar,74811,75560,150371
Kota Malang,420383,424550,844933
Kota Probolinggo,119577,121625,241202
Kota Pasuruan,104788,104740,209528
Kota Mojokerto,66089,67183,133272
Kota Madiun,96277,100640,196917
Kota Surabaya,1427872,1452412,2880284
Kota Batu,108091,106562,214653
Jawa Timur,20394280,20484509,40878789
