Kabupaten/Kota Se Jawa Timur,,,
,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota Provinsi Jawa Timur (Jiwa),,
,Laki-laki,Perempuan,Laki-laki + Perempuan
,2018,2018,2018
Kabupaten Pacitan,270708,283686,554394
Kabupaten Ponorogo,435169,435536,870705
Kabupaten Trenggalek,345282,349620,694902
Kabupaten Tulungagung,504804,530486,1035290
Kabupaten Blitar,579925,577575,1157500
Kabupaten Kediri,787023,781090,1568113
Kabupaten Malang,1302771,1289024,2591795
Kabupaten Lumajang,507781,532013,1039794
Kabupaten Jember,1199820,1240894,2440714
Kabupaten Banyuwangi,800985,808692,1609677
Kabupaten Bondowoso,376074,396223,772297
Kabupaten Situbondo,331718,348275,679993
Kabupaten Probolinggo,567105,594987,1162092
Kabupaten Pasuruan,800915,815663,1616578
Kabupaten Sidoarjo,1113881,1102923,2216804
Kabupaten Mojokerto,553878,554840,1108718
Kabupaten Jombang,626207,632411,1258618
Kabupaten Nganjuk,523006,528894,1051900
Kabupaten Madiun,336329,345065,681394
Kabupaten Magetan,306317,322607,628924
Kabupaten Ngawi,405807,424283,830090
Kabupaten Bojonegoro,616596,630331,1246927
Kabupaten Tuban,577201,591076,1168277
Kabupaten Lamongan,577693,611220,1188913
Kabupaten Gresik,644099,654925,1299024
Kabupaten Bangkalan,467728,511164,978892
Kabupaten Sampang,471989,496531,968520
Kabupaten Pamekasan,423587,447910,871497
Kabupaten Sumenep,516322,568905,1085227
Kota Kediri,142292,143290,285582
Kota Blitar,69892,71079,140971
Kota Malang,427078,439040,866118
Kota Probolinggo,115788,119423,235211
Kota Pasuruan,98680,100398,199078
Kota Mojokerto,63115,65167,128282
Kota Madiun,85496,91201,176697
Kota Surabaya,1425577,1459978,2885555
Kota Batu,103518,102270,205788
Jawa Timur,19502156,19998695,39500851
