kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_TENAGA_KESEHATAN
3508,KABUPATEN LUMAJANG,2021,3610
3509,KABUPATEN JEMBER,2021,6427
3510,KABUPATEN BANYUWANGI,2021,4741
3511,KABUPATEN BONDOWOSO,2021,2195
3512,KABUPATEN SITUBONDO,2021,2111
3513,KABUPATEN PROBOLINGGO,2021,2742
3514,KABUPATEN PASURUAN,2021,4283
3515,KABUPATEN SIDOARJO,2021,8476
3516,KABUPATEN MOJOKERTO,2021,3170
3517,KABUPATEN JOMBANG,2021,4543
3518,KABUPATEN NGANJUK,2021,2979
3519,KABUPATEN MADIUN,2021,2001
3520,KABUPATEN MAGETAN,2021,2491
3521,KABUPATEN NGAWI,2021,2911
3522,KABUPATEN BOJONEGORO,2021,3680
3523,KABUPATEN TUBAN,2021,2848
3524,KABUPATEN LAMONGAN,2021,4746
3525,KABUPATEN GRESIK,2021,5406
3526,KABUPATEN BANGKALAN,2021,2328
3527,KABUPATEN SAMPANG,2021,2075
3528,KABUPATEN PAMEKASAN,2021,2606
3529,KABUPATEN SUMENEP,2021,2883
3571,KOTA KEDIRI,2021,3679
3572,KOTA BLITAR,2021,1598
3573,KOTA MALANG,2021,9887
3574,KOTA PROBOLINGGO,2021,1492
3575,KOTA PASURUAN,2021,1305
3576,KOTA MOJOKERTO,2021,1640
3577,KOTA MADIUN,2021,2843
3578,KOTA SURABAYA,2021,28861
3579,KOTA BATU,2021,1259
3501,KABUPATEN PACITAN,2022,1885
3502,KABUPATEN PONOROGO,2022,3803
3503,KABUPATEN TRENGGALEK,2022,2384
3504,KABUPATEN TULUNGAGUNG,2022,4795
3505,KABUPATEN BLITAR,2022,2918
3506,KABUPATEN KEDIRI,2022,4460
3507,KABUPATEN MALANG,2022,7936
3508,KABUPATEN LUMAJANG,2022,3636
3509,KABUPATEN JEMBER,2022,7312
3510,KABUPATEN BANYUWANGI,2022,4738
3511,KABUPATEN BONDOWOSO,2022,2680
3512,KABUPATEN SITUBONDO,2022,2448
3513,KABUPATEN PROBOLINGGO,2022,2830
3514,KABUPATEN PASURUAN,2022,4171
3515,KABUPATEN SIDOARJO,2022,9424
3516,KABUPATEN MOJOKERTO,2022,3817
3517,KABUPATEN JOMBANG,2022,4854
3518,KABUPATEN NGANJUK,2022,3280
3519,KABUPATEN MADIUN,2022,2338
3520,KABUPATEN MAGETAN,2022,2380
3521,KABUPATEN NGAWI,2022,3140
3522,KABUPATEN BOJONEGORO,2022,4000
3523,KABUPATEN TUBAN,2022,2951
3524,KABUPATEN LAMONGAN,2022,5208
3525,KABUPATEN GRESIK,2022,5908
3526,KABUPATEN BANGKALAN,2022,3021
3527,KABUPATEN SAMPANG,2022,2532
3528,KABUPATEN PAMEKASAN,2022,3056
3529,KABUPATEN SUMENEP,2022,3589
3571,KOTA KEDIRI,2022,3810
3572,KOTA BLITAR,2022,1704
3573,KOTA MALANG,2022,9827
3574,KOTA PROBOLINGGO,2022,1366
3575,KOTA PASURUAN,2022,1180
3576,KOTA MOJOKERTO,2022,2077
3577,KOTA MADIUN,2022,3075
3578,KOTA SURABAYA,2022,29873
3579,KOTA BATU,2022,1340
3501,Kabupaten Pacitan,2023,1366
3502,Kabupaten Ponorogo,2023,2819
3503,Kabupaten Trenggalek,2023,1789
3504,Kabupaten Tulungagung,2023,3847
3505,Kabupaten Blitar,2023,2339
3506,Kabupaten Kediri,2023,3154
3507,Kabupaten Malang,2023,5856
3508,Kabupaten Lumajang,2023,2805
3509,Kabupaten Jember,2023,5395
3510,Kabupaten Banyuwangi,2023,3659
3511,Kabupaten Bondowoso,2023,2170
3512,Kabupaten Situbondo,2023,1974
3513,Kabupaten Probolinggo,2023,2301
3514,Kabupaten Pasuruan,2023,3339
3515,Kabupaten Sidoarjo,2023,6801
3516,Kabupaten Mojokerto,2023,2835
3517,Kabupaten Jombang,2023,3617
3518,Kabupaten Nganjuk,2023,2459
3519,Kabupaten Madiun,2023,1716
3520,Kabupaten Magetan,2023,1820
3521,Kabupaten Ngawi,2023,2270
3522,Kabupaten Bojonegoro,2023,3351
3523,Kabupaten Tuban,2023,2331
3524,Kabupaten Lamongan,2023,4100
3525,Kabupaten Gresik,2023,4090
3526,Kabupaten Bangkalan,2023,2504
3527,Kabupaten Sampang,2023,2136
3528,Kabupaten Pamekasan,2023,2401
3529,Kabupaten Sumenep,2023,3042
3571,Kota Kediri,2023,2781
3572,Kota Blitar,2023,1221
3573,Kota Malang,2023,5629
3574,Kota Probolinggo,2023,1007
3575,Kota Pasuruan,2023,929
3576,Kota Mojokerto,2023,1468
3577,Kota Madiun,2023,2095
3578,Kota Surabaya,2023,16050
3579,Kota Batu,2023,910
3501,Kabupaten Pacitan,2024,1910
3502,Kabupaten Ponorogo,2024,4163
3503,Kabupaten Trenggalek,2024,2523
3504,Kabupaten Tulungagung,2024,5380
3505,Kabupaten Blitar,2024,3330
3506,Kabupaten Kediri,2024,4713
3507,Kabupaten Malang,2024,9647
3508,Kabupaten Lumajang,2024,3850
3509,Kabupaten Jember,2024,7476
3510,Kabupaten Banyuwangi,2024,5068
3511,Kabupaten Bondowoso,2024,2838
3512,Kabupaten Situbondo,2024,2610
3513,Kabupaten Probolinggo,2024,2913
3514,Kabupaten Pasuruan,2024,4797
3515,Kabupaten Sidoarjo,2024,10657
3516,Kabupaten Mojokerto,2024,4549
3517,Kabupaten Jombang,2024,5207
3518,Kabupaten Nganjuk,2024,3309
3519,Kabupaten Madiun,2024,2339
3520,Kabupaten Magetan,2024,2750
3521,Kabupaten Ngawi,2024,3343
3522,Kabupaten Bojonegoro,2024,4680
3523,Kabupaten Tuban,2024,3405
3524,Kabupaten Lamongan,2024,5911
3525,Kabupaten Gresik,2024,6296
3526,Kabupaten Bangkalan,2024,3143
3527,Kabupaten Sampang,2024,2773
3528,Kabupaten Pamekasan,2024,3298
3529,Kabupaten Sumenep,2024,3811
3571,Kota Kediri,2024,4314
3572,Kota Blitar,2024,1881
3573,Kota Malang,2024,9377
3574,Kota Probolinggo,2024,1580
3575,Kota Pasuruan,2024,1480
3576,Kota Mojokerto,2024,2191
3577,Kota Madiun,2024,3519
3578,Kota Surabaya,2024,29797
3579,Kota Batu,2024,1527
